id,category,category_rank,keyword,search_type,monthly_lower,monthly_upper,blog_documents,recent_posts,recent_posts_note,opportunity,persistence,home_fit,priority,overall_rank,search_source,live_pc_monthly,live_mobile_monthly,live_competition,live_depth,live_checked_at
K0072,경제·비즈니스,72,연금저축세액공제한도,세부 검색어,4750,4750,5261,533,수집결과 내 집계,82.40385450999408,96.13918388794954,75.0,85.0436824213819,91,네이버 검색광고 API,1230,3520,높음,10,2026-09-12T08:34:49+09:00
K0073,경제·비즈니스,73,주휴수당계산,세부 검색어,4930,4930,8238,432,수집결과 내 집계,76.24474887503928,90.14352496928372,75.0,80.16543192830476,247,네이버 검색광고 API,1560,3370,높음,10,2026-09-12T08:34:49+09:00
K0074,경제·비즈니스,74,퇴직금IRP계좌개설,세부 검색어,4500,4500,2014,80,수집결과 내 집계,82.36485667606944,97.8199995528264,50.0,80.52842820388264,231,네이버 검색광고 API,1130,3370,높음,7,2026-09-12T08:34:49+09:00
K0075,경제·비즈니스,75,전세보증보험가입조건,세부 검색어,4640,4640,4194,343,수집결과 내 집계,82.2667228800081,89.14860413622037,62.5,80.37794268087016,234,네이버 검색광고 API,1470,3170,중간,8,2026-09-12T08:34:49+09:00
K0076,경제·비즈니스,76,내신용점수조회,도구·신청 혼합형,4140,4140,1224,130,수집결과 내 집계,81.70871131310878,97.7683238689326,50.0,80.18485281723417,246,네이버 검색광고 API,510,3630,높음,7,2026-09-12T08:34:49+09:00
K0077,경제·비즈니스,77,아파트양도세계산기,도구·신청 혼합형,3810,3810,511,18,수집결과 내 집계,81.64019269853914,96.15936974343903,75.0,84.66790727230128,106,네이버 검색광고 API,1000,2810,낮음,0,2026-09-12T08:34:49+09:00
K0078,경제·비즈니스,78,연차계산법,세부 검색어,3980,3980,3474,188,수집결과 내 집계,81.5428835952159,96.95213112811422,75.0,84.85708113604221,99,네이버 검색광고 API,1310,2670,높음,10,2026-09-12T08:34:49+09:00
K0079,경제·비즈니스,79,연차수당지급기준,세부 검색어,3860,3860,2408,96,수집결과 내 집계,81.42963293584643,92.07218784766937,62.5,80.83647282222402,223,네이버 검색광고 API,1400,2460,높음,10,2026-09-12T08:34:49+09:00
K0080,경제·비즈니스,80,퇴직연금해지,세부 검색어,3570,3570,4893,137,수집결과 내 집계,77.26808988758539,84.02004011564469,50.0,73.8400569784861,458,네이버 검색광고 API,640,2930,높음,3,2026-09-12T08:34:49+09:00
K0081,경제·비즈니스,81,연차계산,세부 검색어,3460,3460,11110,614,수집결과 내 집계,66.52142933179252,88.43357353920402,75.0,74.79078672765746,427,네이버 검색광고 API,2000,1460,높음,10,2026-09-12T08:34:49+09:00
K0082,경제·비즈니스,82,실업급여계산,세부 검색어,3520,3520,5801,663,수집결과 내 집계,74.36814710496824,87.42871976699132,75.0,78.41268948258151,302,네이버 검색광고 API,1370,2150,낮음,0,2026-09-12T08:34:49+09:00
K0083,경제·비즈니스,83,증여신고,세부 검색어,3260,3260,28083,993,이상(하한),54.34600626865697,97.88536270132924,62.5,69.03861194472725,568,네이버 검색광고 API,1860,1400,높음,3,2026-09-12T08:34:49+09:00
K0084,경제·비즈니스,84,상속세신고,세부 검색어,3340,3340,29063,992,이상(하한),53.88308022365793,97.10938920314106,62.5,68.57435687277129,580,네이버 검색광고 API,930,2410,높음,10,2026-09-12T08:34:49+09:00
K0085,경제·비즈니스,85,개인사업자폐업신고,세부 검색어,3260,3260,2221,70,수집결과 내 집계,80.61758563650748,87.95397246333212,62.5,79.19498455725338,277,네이버 검색광고 API,1170,2090,중간,3,2026-09-12T08:34:49+09:00
K0086,경제·비즈니스,86,연금저축계좌개설,세부 검색어,3360,3360,4526,176,수집결과 내 집계,76.96232062751892,96.93988761023282,50.0,77.5631265968293,329,네이버 검색광고 API,770,2590,높음,7,2026-09-12T08:34:49+09:00
K0087,경제·비즈니스,87,퇴직금세금계산기,도구·신청 혼합형,3390,3390,945,60,수집결과 내 집계,80.55141628362878,87.36205181862266,75.0,81.48432368740119,198,네이버 검색광고 API,1140,2250,중간,3,2026-09-12T08:34:49+09:00
K0088,경제·비즈니스,88,연금저축세액공제,세부 검색어,3200,3200,18131,988,이상(하한),59.04962980520152,96.15233861051635,50.0,68.37051648575567,584,네이버 검색광고 API,840,2360,높음,10,2026-09-12T08:34:49+09:00
K0089,경제·비즈니스,89,부부증여한도,세부 검색어,3050,3050,894,27,수집결과 내 집계,80.38260679350904,94.30847974380683,75.0,83.48384731989657,129,네이버 검색광고 API,510,2540,높음,3,2026-09-12T08:34:49+09:00
K0090,경제·비즈니스,90,연금계산기,도구·신청 혼합형,2960,2960,5353,358,수집결과 내 집계,72.39314861700888,95.14197157439148,75.0,79.73916578082188,259,네이버 검색광고 API,790,2170,높음,10,2026-09-12T08:34:49+09:00
K0091,경제·비즈니스,91,자진퇴사실업급여조건,세부 검색어,2900,2900,3241,948,수집결과 내 집계,78.1342188382122,74.05417403666983,62.5,73.78336163010705,460,네이버 검색광고 API,1030,1870,높음,3,2026-09-12T08:34:49+09:00
K0092,경제·비즈니스,92,증여세계산,세부 검색어,2530,2530,12798,456,수집결과 내 집계,58.926093876248814,96.56982407629266,75.0,73.43399416101221,468,네이버 검색광고 API,840,1690,낮음,0,2026-09-12T08:34:49+09:00
K0093,경제·비즈니스,93,고용보험실업급여조건,세부 검색어,2510,2510,7597,582,수집결과 내 집계,65.3170540537663,73.51790859894639,62.5,67.21389960656707,616,네이버 검색광고 API,540,1970,중간,3,2026-09-12T08:34:49+09:00
K0094,경제·비즈니스,94,비과세개인연금,세부 검색어,2520,2520,2435,24,수집결과 내 집계,79.06060580679116,94.56636480047041,50.0,77.90021234353671,322,네이버 검색광고 API,570,1950,높음,10,2026-09-12T08:34:49+09:00
K0095,경제·비즈니스,95,증여세율표,세부 검색어,2370,2370,322,7,수집결과 내 집계,78.97386627647538,97.79583174216555,75.0,83.82568266088735,121,네이버 검색광고 API,560,1810,중간,3,2026-09-12T08:34:49+09:00
K0096,경제·비즈니스,96,연차수당계산법,세부 검색어,2690,2690,2325,120,수집결과 내 집계,78.77381644051876,92.90345471941941,75.0,82.2579446360852,170,네이버 검색광고 API,1260,1430,높음,10,2026-09-12T08:34:49+09:00
K0097,경제·비즈니스,97,4대보험계산,세부 검색어,2400,2400,4447,218,수집결과 내 집계,70.26374260946108,91.89208526211527,75.0,77.69949688336511,328,네이버 검색광고 API,1340,1060,낮음,0,2026-09-12T08:34:49+09:00
K0098,경제·비즈니스,98,원금균등원리금균등차이,세부 검색어,540,540,719,101,수집결과 내 집계,67.71296230395703,,87.5,,,네이버 검색광고 API,290,250,중간,1,2026-09-12T08:34:49+09:00
